m_auto,m_pers,p_sexe,p_age,p_permis,d_grhre,d_motif,d_mode1,d_orism,m_domsm,d_dessm
0.0,2.0,1.0,22.0,2.0,4.0,5.0,4.0,0,0,0
1.0,5.0,1.0,33.0,1.0,2.0,1.0,4.0,0,0,0
0.0,2.0,1.0,33.0,2.0,5.0,11.0,3.0,0,0,0
0.0,2.0,1.0,23.0,2.0,4.0,11.0,4.0,0,0,0
0.0,1.0,1.0,66.0,2.0,4.0,6.0,4.0,0,0,0
1.0,2.0,1.0,72.0,1.0,4.0,11.0,4.0,0,0,0
2.0,2.0,1.0,65.0,1.0,4.0,11.0,0.0,0,0,0
1.0,2.0,1.0,63.0,1.0,5.0,6.0,4.0,0,0,0
1.0,2.0,1.0,53.0,1.0,4.0,1.0,4.0,0,0,0
0.0,1.0,1.0,65.0,2.0,4.0,11.0,4.0,0,0,0
1.0,2.0,1.0,70.0,2.0,5.0,11.0,4.0,0,0,0
1.0,2.0,1.0,55.0,1.0,4.0,1.0,4.0,0,0,0
1.0,2.0,1.0,77.0,1.0,4.0,5.0,4.0,0,0,0
0.0,1.0,1.0,65.0,1.0,6.0,11.0,4.0,0,0,0
0.0,2.0,1.0,19.0,2.0,3.0,4.0,4.0,0,0,0
1.0,1.0,1.0,35.0,1.0,5.0,11.0,3.0,0,0,0
0.0,1.0,1.0,21.0,1.0,6.0,11.0,4.0,0,0,0
2.0,2.0,1.0,70.0,1.0,6.0,11.0,4.0,0,0,0
1.0,4.0,1.0,56.0,1.0,5.0,11.0,4.0,0,0,0
0.0,1.0,1.0,36.0,2.0,6.0,11.0,4.0,0,0,0
0.0,1.0,1.0,60.0,2.0,3.0,6.0,4.0,0,0,0
0.0,1.0,1.0,38.0,2.0,2.0,1.0,4.0,0,0,0
2.0,2.0,1.0,48.0,1.0,5.0,1.0,0.0,0,0,0
1.0,6.0,1.0,37.0,1.0,5.0,11.0,3.0,0,0,0
0.0,2.0,1.0,23.0,2.0,4.0,11.0,4.0,0,0,0
1.0,3.0,1.0,59.0,2.0,4.0,11.0,4.0,0,0,0
2.0,2.0,1.0,40.0,1.0,3.0,4.0,4.0,0,0,0
2.0,2.0,1.0,69.0,1.0,6.0,6.0,4.0,0,0,0
0.0,1.0,1.0,28.0,2.0,3.0,4.0,4.0,0,0,0
0.0,2.0,1.0,72.0,2.0,2.0,6.0,4.0,0,0,0
0.0,2.0,1.0,55.0,1.0,4.0,11.0,4.0,0,0,0
0.0,2.0,1.0,54.0,1.0,4.0,11.0,4.0,0,0,0
2.0,3.0,1.0,37.0,1.0,2.0,1.0,4.0,0,0,0
1.0,2.0,1.0,65.0,1.0,6.0,6.0,4.0,0,0,0
1.0,2.0,1.0,64.0,1.0,6.0,11.0,4.0,0,0,0
0.0,1.0,1.0,64.0,2.0,4.0,11.0,4.0,0,0,0
1.0,4.0,1.0,65.0,1.0,3.0,9.0,4.0,0,0,0
1.0,2.0,1.0,65.0,2.0,6.0,11.0,3.0,0,0,0
0.0,1.0,1.0,28.0,2.0,3.0,1.0,3.0,0,0,0
1.0,2.0,1.0,56.0,1.0,5.0,11.0,4.0,0,0,0
0.0,2.0,1.0,54.0,1.0,4.0,5.0,4.0,0,0,0
1.0,2.0,1.0,48.0,1.0,2.0,1.0,4.0,0,0,0
1.0,2.0,1.0,40.0,1.0,2.0,1.0,2.0,0,0,0
0.0,2.0,1.0,33.0,2.0,5.0,11.0,3.0,0,0,0
1.0,3.0,1.0,38.0,2.0,2.0,1.0,4.0,0,0,0
1.0,1.0,1.0,70.0,1.0,4.0,6.0,4.0,0,0,0
1.0,2.0,1.0,68.0,2.0,5.0,6.0,4.0,0,0,0
1.0,2.0,1.0,26.0,1.0,6.0,6.0,4.0,0,0,0
1.0,2.0,1.0,29.0,1.0,5.0,11.0,4.0,0,0,0
0.0,5.0,1.0,44.0,2.0,3.0,1.0,4.0,0,0,0
1.0,2.0,1.0,39.0,1.0,5.0,11.0,2.0,0,0,0
1.0,2.0,1.0,26.0,1.0,6.0,11.0,4.0,0,0,0
0.0,2.0,1.0,28.0,2.0,6.0,11.0,4.0,0,0,0
1.0,1.0,1.0,43.0,1.0,2.0,1.0,4.0,0,0,0
0.0,2.0,1.0,45.0,1.0,2.0,1.0,4.0,0,0,0
0.0,1.0,1.0,21.0,1.0,6.0,11.0,4.0,0,0,0
1.0,2.0,1.0,57.0,1.0,2.0,1.0,4.0,0,0,0
0.0,2.0,1.0,33.0,2.0,5.0,11.0,3.0,0,0,0
1.0,1.0,1.0,53.0,1.0,2.0,1.0,4.0,0,0,0
0.0,1.0,1.0,60.0,2.0,4.0,11.0,4.0,0,0,0
2.0,2.0,1.0,55.0,1.0,2.0,1.0,0.0,0,0,0
0.0,1.0,1.0,45.0,2.0,5.0,11.0,4.0,0,0,0
1.0,2.0,1.0,66.0,1.0,3.0,8.0,4.0,0,0,0
0.0,1.0,2.0,75.0,1.0,4.0,5.0,4.0,0,0,0
0.0,1.0,2.0,74.0,1.0,4.0,5.0,4.0,0,0,0
2.0,2.0,2.0,39.0,1.0,2.0,1.0,1.0,0,0,0
0.0,2.0,2.0,61.0,1.0,3.0,5.0,4.0,0,0,0
1.0,2.0,2.0,59.0,1.0,3.0,1.0,4.0,0,0,0
1.0,2.0,2.0,61.0,1.0,3.0,5.0,4.0,0,0,0
1.0,1.0,2.0,74.0,1.0,3.0,6.0,2.0,0,0,0
1.0,2.0,2.0,45.0,1.0,6.0,10.0,4.0,0,0,0
0.0,2.0,2.0,62.0,1.0,3.0,5.0,4.0,0,0,0
1.0,1.0,2.0,52.0,1.0,2.0,1.0,4.0,0,0,0
0.0,1.0,2.0,78.0,2.0,6.0,11.0,4.0,0,0,0
0.0,2.0,2.0,41.0,2.0,6.0,11.0,4.0,0,0,0
